Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,week,Day,Day_of_week,Lag_1,Lag_7,Rolling_mean_7
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,5,4,0.0,0.0,0.0
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,12,4,1643690.9,0.0,0.0
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,19,4,1641957.44,0.0,0.0
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,26,4,1611968.17,0.0,0.0
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,5,4,1409727.59,0.0,0.0
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,12,4,1554806.68,0.0,0.0
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,19,4,1439541.59,0.0,0.0
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,26,4,1472515.79,1643690.9,0.0
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,2,4,1404429.92,1641957.44,0.0
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,9,4,1594968.28,1611968.17,0.0
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,16,4,1545418.53,1409727.59,0.0
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,23,4,1466058.28,1554806.68,0.0
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,30,4,1391256.12,1439541.59,0.0
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,7,4,1425100.71,1472515.79,1539172.5942857142
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,14,4,1603955.12,1404429.92,1504992.4542857143
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,21,4,1494251.5,1594968.28,1498279.7171428571
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,28,4,1399662.07,1545418.53,1488772.6257142858
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,4,4,1432069.95,1466058.28,1496819.8671428573
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,11,4,1615524.71,1391256.12,1473455.5014285718
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,18,4,1542561.09,1425100.71,1471392.5185714287
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,25,4,1503284.06,1603955.12,1490169.565714286
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,2,4,1422711.6,1494251.5,1503001.22
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,27,9,4,1492418.14,1399662.07,1475100.332857143
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,28,16,4,1546074.18,1432069.95,1458907.6785714286
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,29,23,4,1448938.92,1615524.71,1480260.0257142857
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,30,4,1385065.2,1542561.09,1501875.0214285713
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,31,6,4,1371986.6,1503284.06,1513044.0714285714
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,32,13,4,1605491.78,1422711.6,1487152.14
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,33,20,4,1508237.76,1492418.14,1486890.2314285715
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,34,27,4,1513080.49,1546074.18,1507806.2471428572
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,35,3,4,1449142.92,1448938.92,1510216.0999999999
